Game ID,Country,Z-score for % starting SCs,Z-score for distance to edge,Z-score for % SCs which are neutrals within two moves,Z-score for other player's starting units within three moves of player's units or SCs,Number of players,% Supply Centers at game end
36349,Russia,2.27,-1.35,0.53,0.97,7,0
36349,Italy,-0.38,-0.30,-1.52,-0.34,7,0
36305,Austria,-0.38,0.75,0.53,0.45,7,0.29411764705882354
36305,England,-0.38,-0.30,0.53,-1.38,7,0.20588235294117646
36305,Germany,-0.38,1.80,0.53,1.23,7,0.20588235294117646
36305,Italy,-0.38,-0.30,-1.52,-0.34,7,0.17647058823529413
36305,Russia,2.27,-1.35,0.53,0.97,7,0.11764705882352941
36305,France,-0.38,-0.30,-1.52,0.19,7,0
36305,Turkey,-0.38,-0.30,0.53,-1.12,7,0
36279,Turkey,-0.38,-0.30,0.53,-1.12,7,0.38235294117647056
36279,England,-0.38,-0.30,0.53,-1.38,7,0.2647058823529412
36279,Germany,-0.38,1.80,0.53,1.23,7,0.3235294117647059
36279,Italy,-0.38,-0.30,-1.52,-0.34,7,0.029411764705882353
36279,Austria,-0.38,0.75,0.53,0.45,7,0
36279,Russia,2.27,-1.35,0.53,0.97,7,0
36279,France,-0.38,-0.30,-1.52,0.19,7,0
36271,Russia,2.27,-1.35,0.53,0.97,7,0.5882352941176471
36271,Italy,-0.38,-0.30,-1.52,-0.34,7,0.20588235294117646
36271,England,-0.38,-0.30,0.53,-1.38,7,0.11764705882352941
36271,France,-0.38,-0.30,-1.52,0.19,7,0.08823529411764706
36271,Turkey,-0.38,-0.30,0.53,-1.12,7,0
36271,Germany,-0.38,1.80,0.53,1.23,7,0
36271,Austria,-0.38,0.75,0.53,0.45,7,0
36241,Russia,2.27,-1.35,0.53,0.97,7,0.23529411764705882
36241,France,-0.38,-0.30,-1.52,0.19,7,0.23529411764705882
36241,Austria,-0.38,0.75,0.53,0.45,7,0.20588235294117646
36241,England,-0.38,-0.30,0.53,-1.38,7,0.14705882352941177
36241,Italy,-0.38,-0.30,-1.52,-0.34,7,0.08823529411764706
36241,Germany,-0.38,1.80,0.53,1.23,7,0.058823529411764705
36241,Turkey,-0.38,-0.30,0.53,-1.12,7,0.029411764705882353
36208,Germany,-0.38,1.80,0.53,1.23,7,0.5294117647058824
36208,France,-0.38,-0.30,-1.52,0.19,7,0.08823529411764706
36208,Austria,-0.38,0.75,0.53,0.45,7,0.11764705882352941
36208,Turkey,-0.38,-0.30,0.53,-1.12,7,0.08823529411764706
36208,Italy,-0.38,-0.30,-1.52,-0.34,7,0.058823529411764705
36208,Russia,2.27,-1.35,0.53,0.97,7,0.029411764705882353
36208,England,-0.38,-0.30,0.53,-1.38,7,0
36139,France,-0.38,-0.30,-1.52,0.19,7,0.5588235294117647
36139,Turkey,-0.38,-0.30,0.53,-1.12,7,0.38235294117647056
36139,England,-0.38,-0.30,0.53,-1.38,7,0.058823529411764705
36139,Austria,-0.38,0.75,0.53,0.45,7,0
36139,Russia,2.27,-1.35,0.53,0.97,7,0
36139,Germany,-0.38,1.80,0.53,1.23,7,0
36139,Italy,-0.38,-0.30,-1.52,-0.34,7,0
36126,England,-0.38,-0.30,0.53,-1.38,7,0.3235294117647059
36126,Turkey,-0.38,-0.30,0.53,-1.12,7,0.23529411764705882
36126,Italy,-0.38,-0.30,-1.52,-0.34,7,0.17647058823529413
36126,France,-0.38,-0.30,-1.52,0.19,7,0.14705882352941177
36126,Austria,-0.38,0.75,0.53,0.45,7,0.11764705882352941
36126,Russia,2.27,-1.35,0.53,0.97,7,0
36126,Germany,-0.38,1.80,0.53,1.23,7,0
36084,Austria,-0.38,0.75,0.53,0.45,7,0.4117647058823529
36084,France,-0.38,-0.30,-1.52,0.19,7,0.29411764705882354
36084,Germany,-0.38,1.80,0.53,1.23,7,0.29411764705882354
36084,England,-0.38,-0.30,0.53,-1.38,7,0
36084,Italy,-0.38,-0.30,-1.52,-0.34,7,0
36084,Turkey,-0.38,-0.30,0.53,-1.12,7,0
36084,Russia,2.27,-1.35,0.53,0.97,7,0
36015,France,-0.38,-0.30,-1.52,0.19,7,0.3235294117647059
36015,Turkey,-0.38,-0.30,0.53,-1.12,7,0.23529411764705882
36015,Russia,2.27,-1.35,0.53,0.97,7,0.20588235294117646
36015,England,-0.38,-0.30,0.53,-1.38,7,0.11764705882352941
36015,Germany,-0.38,1.80,0.53,1.23,7,0.11764705882352941
36015,Italy,-0.38,-0.30,-1.52,-0.34,7,0
36015,Austria,-0.38,0.75,0.53,0.45,7,0
35965,Austria,-0.38,0.75,0.53,0.45,7,0.11764705882352941
35965,Russia,2.27,-1.35,0.53,0.97,7,0.17647058823529413
35965,Turkey,-0.38,-0.30,0.53,-1.12,7,0.14705882352941177
35965,England,-0.38,-0.30,0.53,-1.38,7,0.14705882352941177
35965,Germany,-0.38,1.80,0.53,1.23,7,0.14705882352941177
35965,Italy,-0.38,-0.30,-1.52,-0.34,7,0.11764705882352941
35965,France,-0.38,-0.30,-1.52,0.19,7,0.11764705882352941
35938,Russia,2.27,-1.35,0.53,0.97,7,0.38235294117647056
35938,Italy,-0.38,-0.30,-1.52,-0.34,7,0.2647058823529412
35938,France,-0.38,-0.30,-1.52,0.19,7,0.23529411764705882
35938,England,-0.38,-0.30,0.53,-1.38,7,0.058823529411764705
35938,Turkey,-0.38,-0.30,0.53,-1.12,7,0.058823529411764705
35938,Austria,-0.38,0.75,0.53,0.45,7,0.0
35938,Germany,-0.38,1.80,0.53,1.23,7,0
35913,Russia,2.27,-1.35,0.53,0.97,7,0.17647058823529413
35913,France,-0.38,-0.30,-1.52,0.19,7,0.11764705882352941
35913,Germany,-0.38,1.80,0.53,1.23,7,0.11764705882352941
35913,Austria,-0.38,0.75,0.53,0.45,7,0.11764705882352941
35913,Turkey,-0.38,-0.30,0.53,-1.12,7,0.08823529411764706
35913,Italy,-0.38,-0.30,-1.52,-0.34,7,0.08823529411764706
35913,England,-0.38,-0.30,0.53,-1.38,7,0
35884,Turkey,-0.38,-0.30,0.53,-1.12,7,0.5294117647058824
35884,England,-0.38,-0.30,0.53,-1.38,7,0.3235294117647059
35884,Italy,-0.38,-0.30,-1.52,-0.34,7,0.08823529411764706
35884,Germany,-0.38,1.80,0.53,1.23,7,0.029411764705882353
35884,Austria,-0.38,0.75,0.53,0.45,7,0.029411764705882353
35884,France,-0.38,-0.30,-1.52,0.19,7,0
35884,Russia,2.27,-1.35,0.53,0.97,7,0
35877,Turkey,-0.38,-0.30,0.53,-1.12,7,0.35294117647058826
35877,England,-0.38,-0.30,0.53,-1.38,7,0.29411764705882354
35877,France,-0.38,-0.30,-1.52,0.19,7,0.2647058823529412
35877,Russia,2.27,-1.35,0.53,0.97,7,0.058823529411764705
35877,Austria,-0.38,0.75,0.53,0.45,7,0.029411764705882353
35877,Italy,-0.38,-0.30,-1.52,-0.34,7,0
35877,Germany,-0.38,1.80,0.53,1.23,7,0
35855,France,-0.38,-0.30,-1.52,0.19,7,0.2647058823529412
35855,Austria,-0.38,0.75,0.53,0.45,7,0.2647058823529412
35855,Germany,-0.38,1.80,0.53,1.23,7,0.23529411764705882
35855,Turkey,-0.38,-0.30,0.53,-1.12,7,0.23529411764705882
35855,England,-0.38,-0.30,0.53,-1.38,7,0
35855,Italy,-0.38,-0.30,-1.52,-0.34,7,0
35855,Russia,2.27,-1.35,0.53,0.97,7,0
35792,Turkey,-0.38,-0.30,0.53,-1.12,7,0.5294117647058824
35792,Germany,-0.38,1.80,0.53,1.23,7,0.23529411764705882
35792,France,-0.38,-0.30,-1.52,0.19,7,0.20588235294117646
35792,England,-0.38,-0.30,0.53,-1.38,7,0.029411764705882353
35792,Italy,-0.38,-0.30,-1.52,-0.34,7,0
35792,Austria,-0.38,0.75,0.53,0.45,7,0
35792,Russia,2.27,-1.35,0.53,0.97,7,0
35775,Germany,-0.38,1.80,0.53,1.23,7,0.11764705882352941
35775,Austria,-0.38,0.75,0.53,0.45,7,0
35775,England,-0.38,-0.30,0.53,-1.38,7,0
35775,Russia,2.27,-1.35,0.53,0.97,7,0
35775,France,-0.38,-0.30,-1.52,0.19,7,0
35775,Italy,-0.38,-0.30,-1.52,-0.34,7,0
35775,Turkey,-0.38,-0.30,0.53,-1.12,7,0
35756,England,-0.38,-0.30,0.53,-1.38,7,0.5294117647058824
35756,France,-0.38,-0.30,-1.52,0.19,7,0.47058823529411764
35756,Turkey,-0.38,-0.30,0.53,-1.12,7,0.0
35756,Italy,-0.38,-0.30,-1.52,-0.34,7,0
35756,Austria,-0.38,0.75,0.53,0.45,7,0
35756,Germany,-0.38,1.80,0.53,1.23,7,0
35756,Russia,2.27,-1.35,0.53,0.97,7,0
35625,Italy,-0.38,-0.30,-1.52,-0.34,7,0.4117647058823529
35625,Germany,-0.38,1.80,0.53,1.23,7,0.38235294117647056
35625,Austria,-0.38,0.75,0.53,0.45,7,0.20588235294117646
35625,France,-0.38,-0.30,-1.52,0.19,7,0
35625,Turkey,-0.38,-0.30,0.53,-1.12,7,0
35625,England,-0.38,-0.30,0.53,-1.38,7,0
35625,Russia,2.27,-1.35,0.53,0.97,7,0
35610,France,-0.38,-0.30,-1.52,0.19,7,0.4117647058823529
35610,England,-0.38,-0.30,0.53,-1.38,7,0.3235294117647059
35610,Turkey,-0.38,-0.30,0.53,-1.12,7,0.2647058823529412
35610,Italy,-0.38,-0.30,-1.52,-0.34,7,0
35610,Germany,-0.38,1.80,0.53,1.23,7,0
35610,Russia,2.27,-1.35,0.53,0.97,7,0
35610,Austria,-0.38,0.75,0.53,0.45,7,0
35572,Russia,2.27,-1.35,0.53,0.97,7,0.5
35572,Germany,-0.38,1.80,0.53,1.23,7,0.4117647058823529
35572,Italy,-0.38,-0.30,-1.52,-0.34,7,0.08823529411764706
35572,England,-0.38,-0.30,0.53,-1.38,7,0
35572,Austria,-0.38,0.75,0.53,0.45,7,0
35572,France,-0.38,-0.30,-1.52,0.19,7,0
35572,Turkey,-0.38,-0.30,0.53,-1.12,7,0
