Game ID,Country,Z-score for % starting SCs,Z-score for distance to edge,Z-score for % SCs which are neutrals within two moves,Z-score for other player's starting units within three moves of player's units or SCs,Number of players,% Supply Centers at game end
34651,Colombia,-0.577350269,-0.577350269,-1.53,-1.677484274,4,0.4583333333333333
34651,Argentina,-0.577350269,1.732050808,1.28,0.762492852,4,0.2916666666666667
34651,Chile,-0.577350269,-0.577350269,0.12,0.15249857,4,0.25
34651,Brazil,1.732050808,-0.577350269,0.12,0.762492852,4,0
34292,Argentina,-0.577350269,1.732050808,1.28,0.762492852,4,0.625
34292,Brazil,1.732050808,-0.577350269,0.12,0.762492852,4,0.25
34292,Colombia,-0.577350269,-0.577350269,-1.53,-1.677484274,4,0.125
34292,Chile,-0.577350269,-0.577350269,0.12,0.15249857,4,0
34286,Colombia,-0.577350269,-0.577350269,-1.53,-1.677484274,4,0.5416666666666666
34286,Argentina,-0.577350269,1.732050808,1.28,0.762492852,4,0.2916666666666667
34286,Chile,-0.577350269,-0.577350269,0.12,0.15249857,4,0.16666666666666666
34286,Brazil,1.732050808,-0.577350269,0.12,0.762492852,4,0
33777,Colombia,-0.577350269,-0.577350269,-1.53,-1.677484274,4,0.5416666666666666
33777,Brazil,1.732050808,-0.577350269,0.12,0.762492852,4,0.16666666666666666
33777,Chile,-0.577350269,-0.577350269,0.12,0.15249857,4,0.125
33777,Argentina,-0.577350269,1.732050808,1.28,0.762492852,4,0.125
33715,Colombia,-0.577350269,-0.577350269,-1.53,-1.677484274,4,0.5416666666666666
33715,Argentina,-0.577350269,1.732050808,1.28,0.762492852,4,0.3333333333333333
33715,Brazil,1.732050808,-0.577350269,0.12,0.762492852,4,0.125
33715,Chile,-0.577350269,-0.577350269,0.12,0.15249857,4,0
33634,Chile,-0.577350269,-0.577350269,0.12,0.15249857,4,0.375
33634,Colombia,-0.577350269,-0.577350269,-1.53,-1.677484274,4,0.3333333333333333
33634,Argentina,-0.577350269,1.732050808,1.28,0.762492852,4,0.2916666666666667
33634,Brazil,1.732050808,-0.577350269,0.12,0.762492852,4,0
33336,Colombia,-0.577350269,-0.577350269,-1.53,-1.677484274,4,0.375
33336,Chile,-0.577350269,-0.577350269,0.12,0.15249857,4,0.2916666666666667
33336,Brazil,1.732050808,-0.577350269,0.12,0.762492852,4,0.16666666666666666
33336,Argentina,-0.577350269,1.732050808,1.28,0.762492852,4,0.16666666666666666
33271,Argentina,-0.577350269,1.732050808,1.28,0.762492852,4,0.3333333333333333
33271,Colombia,-0.577350269,-0.577350269,-1.53,-1.677484274,4,0.2916666666666667
33271,Chile,-0.577350269,-0.577350269,0.12,0.15249857,4,0.20833333333333334
